pl_name,hostname,discoverymethod,disc_year,pl_dens_source,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_met,sy_pnum,pl_rade_was_imputed,pl_bmasse_was_imputed,pl_dens_was_imputed,pl_orbper_was_imputed,pl_orbsmax_was_imputed,pl_orbeccen_was_imputed,st_teff_was_imputed,st_met_was_imputed,sy_pnum_was_imputed,complete_case_before_imputation,any_feature_was_imputed,imputation_method
BD-06 1339 b,BD-06 1339,Radial Velocity,2013.0,,6.135499301071204,1523.0337263399997,5.121983039046415,3.8727999999999994,0.0428,0.0,4324.0,-0.14,2.0,True,False,True,False,False,False,False,False,False,False,True,knn
BD-06 1339 c,BD-06 1339,Radial Velocity,2013.0,derived_from_pl_bmasse_pl_rade,8.379999999999999,52.999999999999986,0.49660441408835726,125.93999999999998,0.435,0.31,4324.0,-0.14,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD-08 2823 b,BD-08 2823,Radial Velocity,2009.0,,10.824822252377158,2948.4941317399994,3.418389768930478,5.599999999999999,0.06,0.15,4816.0,-0.06,2.0,True,False,True,False,False,False,False,False,False,False,True,knn
BD-08 2823 c,BD-08 2823,Radial Velocity,2009.0,derived_from_pl_bmasse_pl_rade,12.500000000000002,103.99999999999997,0.2936094720000001,237.60000000000005,0.6800000000000002,0.19,4746.0,-0.07,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD-10 3166 b,BD-10 3166,Radial Velocity,2000.0,derived_from_pl_bmasse_pl_rade,14.1,187.51970000000006,0.3688555507396669,3.4877700000000003,0.04000000000000001,0.02,5393.0,0.38,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD-11 4672 b,BD-11 4672,Radial Velocity,2014.0,derived_from_pl_bmasse_pl_rade,14.1,206.5894999999999,0.4063662847131924,1634.0000000000002,2.3599999999999994,0.05,4550.0,-0.35,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD-11 4672 c,BD-11 4672,Radial Velocity,2020.0,derived_from_pl_bmasse_pl_rade,4.039999999999999,15.369999999999996,1.2852764022358514,74.2,0.29999999999999993,0.4,4550.0,-0.35,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD-13 2130 b,BD-13 2130,Radial Velocity,2007.0,derived_from_pl_bmasse_pl_rade,12.500000000000002,3108.377400000001,8.7754716076032,714.2999899999999,1.6599999999999997,0.21,4545.0,-0.08,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD-14 3065 b,BD-14 3065 A,Transit,2024.0,derived_from_pl_bmasse_pl_rade,21.589999999999996,3931.999999999999,2.154380174813934,4.2889731,0.06559999999999999,0.066,6935.0,-0.34,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD-17 63 b,BD-17 63,Radial Velocity,2008.0,derived_from_pl_bmasse_pl_rade,12.799999999999999,1639.9945801199995,4.312005097761954,655.5699999999998,1.3400000000000003,0.5439,4714.0,-0.030000000000000002,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD-210397 b,BD-210397,Radial Velocity,2023.0,derived_from_pl_bmasse_pl_rade,13.999999999999998,214.00000000000006,0.43002769679300296,1891.0000000000002,2.6299999999999994,0.1,4051.0,0.12,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD-210397 c,BD-210397,Radial Velocity,2023.0,derived_from_pl_bmasse_pl_rade,12.900000000000002,1525.5763535999995,3.9186058221523465,6240.000000000002,5.9,0.43,4051.0,0.12,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
BEBOP-3 b,BEBOP-3,Radial Velocity,2025.0,derived_from_pl_bmasse_pl_rade,14.200000000000001,177.34825110999992,0.3415298274642789,547.0000000000001,1.4439999999999997,0.247,6033.0,-0.02,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BEBOP-4 AB b,BEBOP-4 A,Radial Velocity,2025.0,,12.29216187987848,8358.887104100002,13.642794034236376,1823.499999999999,3.634,0.428,5701.43,0.2615,1.0,True,False,True,False,False,False,False,False,False,False,True,knn
Barnard b,Barnard's star,Radial Velocity,2024.0,derived_from_pl_bmasse_pl_rade,0.72,0.29900000000000004,4.417132844650206,3.1542000000000003,0.022899999999999997,0.03,3195.0,-0.56,4.0,False,False,False,False,False,False,False,False,False,True,False,knn
Barnard c,Barnard's star,Radial Velocity,2025.0,derived_from_pl_bmasse_pl_rade,0.743,0.3350000000000001,4.5034477416712235,4.1244,0.027399999999999997,0.08,3195.0,-0.56,4.0,False,False,False,False,False,False,False,False,False,True,False,knn
Barnard d,Barnard's star,Radial Velocity,2025.0,derived_from_pl_bmasse_pl_rade,0.694,0.263,4.338544925277854,2.3402,0.018799999999999997,0.04,3195.0,-0.56,4.0,False,False,False,False,False,False,False,False,False,True,False,knn
Barnard e,Barnard's star,Radial Velocity,2025.0,derived_from_pl_bmasse_pl_rade,0.637,0.193,4.117236116582684,6.739200000000001,0.03810000000000001,0.04,3195.0,-0.56,4.0,False,False,False,False,False,False,False,False,False,True,False,knn
CD Cet b,CD Cet,Radial Velocity,2020.0,derived_from_pl_bmasse_pl_rade,1.82,3.95,3.6128480262642797,2.2907,0.018499999999999996,0.12816394107931814,3130.0,0.12999999999999998,1.0,False,False,False,False,False,True,False,False,False,False,True,knn
