config_id,node_id,anchor_pl_name,radius_type,radius_value,N_obs,N_exp_neighbors,delta_N_neighbors,delta_rel_neighbors,N_exp_analog,delta_N_analog,delta_rel_analog,n_analog_nodes,reference_used,warning
orbital_pca2_cubes10_overlap0p35,cube13_cluster7,HD 20781 e,r_node_median,0.2210062305398185,68,69.0,1.0,0.014492753622978366,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster7,HD 20781 e,r_node_q75,0.26884390771006555,94,95.0,1.0,0.01052631578936288,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster7,HD 20781 e,r_kNN,0.10772066469288062,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster5,HD 72659 b,r_node_median,0.8122763353966514,161,162.0,1.0,0.006172839506134736,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster5,HD 72659 b,r_node_q75,0.843464982742972,170,171.0,1.0,0.005847953216340071,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster5,HD 72659 b,r_kNN,0.20139457063962216,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube11_cluster2,TOI-375 c,r_node_median,0.8488153971483032,190,191.0,1.0,0.005235602094213427,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube11_cluster2,TOI-375 c,r_node_q75,1.2184160325165472,410,411.0,1.0,0.0024330900243249806,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube11_cluster2,TOI-375 c,r_kNN,0.2370141550927011,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster7,TOI-375 c,r_node_median,0.8488153971483032,190,191.0,1.0,0.005235602094213427,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster7,TOI-375 c,r_node_q75,1.2184160325165472,410,411.0,1.0,0.0024330900243249806,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster7,TOI-375 c,r_kNN,0.2370141550927011,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster2,HD 217107 c,r_node_median,0.3273384169248367,16,17.0,1.0,0.0588235294083045,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster2,HD 217107 c,r_node_q75,0.36191246750625616,22,23.0,1.0,0.04347826086767486,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster2,HD 217107 c,r_kNN,0.10359384396924798,5,6.0,1.0,0.16666666663888888,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube33_cluster1,HD 217107 c,r_node_median,0.3273384169248367,16,17.0,1.0,0.0588235294083045,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube33_cluster1,HD 217107 c,r_node_q75,0.36191246750625616,22,23.0,1.0,0.04347826086767486,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube33_cluster1,HD 217107 c,r_kNN,0.10359384396924798,5,6.0,1.0,0.16666666663888888,,,,0,N1,insufficient_analogs
