config_id,node_id,Astrometry,Eclipse Timing Variations,Imaging,Microlensing,Orbital Brightness Modulation,Pulsar Timing,Pulsation Timing Variations,Radial Velocity,Transit,Transit Timing Variations,Disk Kinematics
joint_no_density_pca2_cubes10_overlap0p35,cube5_cluster0,0,0,0,0,0,0,0,0,10,0,
joint_no_density_pca2_cubes10_overlap0p35,cube5_cluster1,0,0,0,0,0,0,0,0,6,0,
joint_no_density_pca2_cubes10_overlap0p35,cube5_cluster2,0,0,0,0,0,0,0,0,4,0,
joint_no_density_pca2_cubes10_overlap0p35,cube6_cluster0,0,0,0,0,1,0,0,0,16,0,
joint_no_density_pca2_cubes10_overlap0p35,cube10_cluster0,0,0,0,0,0,0,0,9,21,0,
joint_no_density_pca2_cubes10_overlap0p35,cube11_cluster0,0,0,0,0,0,0,0,20,283,0,
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster0,0,0,0,0,1,0,0,52,1204,2,
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster1,0,0,0,0,0,0,0,0,5,0,
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster0,0,0,0,0,0,0,0,65,1074,5,
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster1,0,0,0,0,0,0,0,0,3,0,
joint_no_density_pca2_cubes10_overlap0p35,cube14_cluster0,0,0,0,0,1,0,0,52,461,4,
joint_no_density_pca2_cubes10_overlap0p35,cube15_cluster0,0,0,0,0,2,0,0,23,375,0,
joint_no_density_pca2_cubes10_overlap0p35,cube15_cluster1,0,0,0,0,0,0,0,0,4,0,
joint_no_density_pca2_cubes10_overlap0p35,cube16_cluster0,0,0,0,0,1,0,0,1,96,0,
joint_no_density_pca2_cubes10_overlap0p35,cube19_cluster0,0,0,0,0,0,0,0,39,67,1,
joint_no_density_pca2_cubes10_overlap0p35,cube19_cluster1,0,0,0,0,0,0,0,2,1,0,
joint_no_density_pca2_cubes10_overlap0p35,cube20_cluster0,0,0,0,0,0,0,0,93,866,5,
joint_no_density_pca2_cubes10_overlap0p35,cube21_cluster0,0,0,0,2,0,2,0,172,2313,11,
joint_no_density_pca2_cubes10_overlap0p35,cube22_cluster0,0,0,0,5,0,0,0,146,1072,14,
joint_no_density_pca2_cubes10_overlap0p35,cube22_cluster1,0,0,0,0,0,0,0,0,3,0,
joint_no_density_pca2_cubes10_overlap0p35,cube23_cluster0,0,0,0,4,0,0,0,88,350,6,
joint_no_density_pca2_cubes10_overlap0p35,cube23_cluster1,0,0,0,0,0,0,0,4,0,0,
joint_no_density_pca2_cubes10_overlap0p35,cube24_cluster0,0,0,0,0,0,0,0,4,0,0,
joint_no_density_pca2_cubes10_overlap0p35,cube24_cluster1,0,0,0,0,0,0,0,20,172,0,
joint_no_density_pca2_cubes10_overlap0p35,cube25_cluster0,0,0,0,0,0,0,0,0,4,0,
joint_no_density_pca2_cubes10_overlap0p35,cube26_cluster0,0,0,0,0,0,0,0,11,17,1,
joint_no_density_pca2_cubes10_overlap0p35,cube26_cluster1,0,0,0,0,0,0,0,4,0,0,
joint_no_density_pca2_cubes10_overlap0p35,cube27_cluster0,0,0,0,13,0,0,0,60,463,4,
joint_no_density_pca2_cubes10_overlap0p35,cube27_cluster1,0,0,0,0,0,0,0,4,0,0,
joint_no_density_pca2_cubes10_overlap0p35,cube28_cluster0,0,0,0,30,0,2,0,128,736,9,
joint_no_density_pca2_cubes10_overlap0p35,cube28_cluster1,0,0,0,0,0,0,0,2,2,0,
joint_no_density_pca2_cubes10_overlap0p35,cube29_cluster0,1,0,0,42,0,0,0,209,147,12,
joint_no_density_pca2_cubes10_overlap0p35,cube30_cluster0,1,1,1,38,0,0,0,219,17,5,
joint_no_density_pca2_cubes10_overlap0p35,cube30_cluster1,0,0,0,0,0,0,0,1,3,0,
joint_no_density_pca2_cubes10_overlap0p35,cube31_cluster0,0,0,1,13,0,0,0,47,1,0,
